donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_el_ultimo_semestre,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,pluriempleo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,vibe_coding,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,cual_es_la_cantidad_maxima_de_entrevistas_que_consideras_aceptable_en_un_proceso_de_seleccion,cual_es_la_combinacion_de_entrevistas_que_consideras_mejor_en_tu_experiencia_como_candidatoa,desafios_tecnicoscomo_los_preferiselegi_todas_las_opciones_que_consideres,cuantas_horas_te_parecen_correctas_dedicarle_a_un_desafio_tecnico_asincronico,cual_de_las_siguientes_frases_representa_mejor_tu_opinion_acerca_de_los_procesos_de_seleccion,salir_o_seguir_contestando_sobre_las_guardias1,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2511178.0,2085000.0,Cobro parte del salario en dólares,Dólar oficial al día de oago,No,No recibo bono,Uno,9.0,Enero,2,"Abono de Internet, Capacitaciones y/o cursos",2,"Sí, estoy buscando activamente.",,QA / Tester,3,3,0,0,"Google Cloud Platform, Kubernetes, Linux, VMWare",TypeScript,Ninguno de los anteriores,Yugabyte,"Cucumber, Postman, Playwright ",De 2001a 5000 personas,Híbrido (presencial y remoto),1,"Una sola vez, en enero ",Sí,6,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,43,Mujer Cis,No,True,Semi-Senior,2511178.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2140000.0,2140000.0,Cobro todo el salario en dólares,1160,No,No recibo bono,Uno,5.0,Enero,2,Nada,2,"No, pero escucho ofertas.",,Manager / Director,10,3,3,1,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,1,Sí,6,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,59,Mujer Cis,Sí,True,Senior,2140000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,310000.0,Cobro parte del salario en dólares,,3+ sueldos,Performance de la compañía,No,0.0,No tuve,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",,Manager / Director,5,5,2,65,Ninguna de las anteriores,"Javascript, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Sí,5,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,39,Hombre Cis,Sí,True,Semi-Senior,3000000.0
Mendoza,Full-Time,Contractor,4000000.0,4000000.0,Cobro todo el salario en dólares,1185,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Horarios flexibles",2,"Sí, estoy buscando activamente.",,Developer,17,0,13,0,"Firebase, Linux","Kotlin, SQL",Compose,"MongoDB, SQLite",JUnit,De 101 a 200 personas,100% remoto,0,No,Sí,8,5,Vibequé?,Responder sobre guardias,Universitario,Completo,Analista de Sistemas,,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Manager directo/a, Charla técnica, pregunta concretas y a fines","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Realmente hace falta que filtro por prueba técnica? Con una charla de una hora máximo ya sabes si hace fit, el nivel y no haces perder tiempo a nadie","Más de 8 horas, sin problemas","Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Neto,37,Hombre Cis,Sí,True,Senior,4000000.0
Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1000000.0,Cobro parte del salario en dólares,,De uno a tres sueldos,Mix de las anteriores,No,0.0,No tuve,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,"Sí, estoy buscando activamente.",,Infosec,7,7,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,No,No sé,7,1,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,35,Hombre Cis,Sí,True,Senior,1300000.0
Santa Fe,Full-Time,Staff (planta permanente),1900000.0,1540000.0,Mi sueldo está dolarizado (pero cobro en moneda local),No lo está,Menos de un sueldo,Performance de la compañía,Tres,3.0,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",3,"No, pero escucho ofertas.",,UX Designer,3,0,3,0,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,"Sii, aumento por inflación",Sí,9,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,35,Mujer Cis,Sí,True,Semi-Senior,1900000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8000000.0,7110000.0,Cobro todo el salario en dólares,1185,No,No recibo bono,No,0.0,No tuve,4,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Stock options / RSUs, Viáticos",3,"No, pero escucho ofertas.",Tengo dos trabajos full time,Manager / Director,8,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,No,No sé,6,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,39,Hombre Cis,Sí,True,Senior,8000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1500000.0,Cobro parte del salario en dólares,1160,No,No recibo bono,Uno,8.0,Febrero,2,"Abono de Internet, Estacionamiento gratuito / subvencionado, Horarios flexibles, Guardería o pago para cubrir costo de guardería, obra social grupo familiar",2,"No, pero escucho ofertas.",,Developer,4,4,1,0,"Amazon Web Services, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL",Ninguno de los anteriores,MariaDB,Postman,De 1001 a 2000 personas,100% remoto,0,Inflación trimestral en febrero (8%),Sí,7,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,37,Hombre Cis,Sí,True,Semi-Senior,2200000.0
Córdoba,Full-Time,Contractor,5875000.0,5865000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1175,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,3,"No, estoy muy conforme.",,Technical Leader,20,0,10,4,"Google Cloud Platform, Linux","CSS, HTML, Python, TypeScript","React.js, FastAPI",PostgreSQL,Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,10,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,37,Hombre Cis,Sí,True,Senior,5875000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2070000.0,1700000.0,Cobro parte del salario en dólares,1195,No,No recibo bono,Uno,8.0,Enero,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Stock options / RSUs",1,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,BI Analyst / Data Analyst,20,2,10,0,"Linux, SAS ","Bash/Shell, Groovy, HTML, Java, Javascript, Matlab, Python, R, SQL","Hadoop, TensorFlow","MySQL, Oracle, PostgreSQL, Teradata, Sas",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,Si 8% pesos en enero,No sé,5,5,Llegó para quedarse,Responder sobre entrevistas técnicas,Universitario,Incompleto,Ingeniería en Sistemas,UADE - Universidad Argentina De la Empresa,Terminar encuesta,Hasta 2,"HR, Manager directo/a, La técnica no evaluatoria sin coding. Te exponen bajo presión a resolver en minutos y despejes cuando es real usas planillas Excel.","Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a, Charla de experiencia ",Menos de 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Responder sobre mis estudios,,,,41,Hombre Cis,Sí,True,Senior,2070000.0
